,Unnamed: 0,Unnamed: 0.1,access_code,access_days_time,id,owner_type_code,station_name,geocode_status,latitude,longitude,city,street_address,zip,ev_connector_types,ev_dc_fast_num,ev_level2_evse_num,ev_network,ev_other_evse,ev_renewable_source,GEOID,County,flag_port,geometry
0,0,2,public,24 hours daily; pay lot,1523,P,Los Angeles Convention Center,GPS,34.040539,-118.271387,Los Angeles,1201 S Figueroa St,90015,['J1772'],,12.0,Non-Networked,,,14000US06037224010,Los Angeles County,level2,POINT (34.040539 -118.271387)
1,1,9,public,24 hours daily,1583,SG,California Air Resources Board,GPS,34.06872,-118.064,El Monte,9530 Telstar Ave,91731,['J1772'],,3.0,Non-Networked,,,14000US06037433103,Los Angeles County,level2,POINT (34.06872 -118.064)
2,2,11,public,24 hours daily,6355,P,Scripps Green Hospital,GPS,32.89947,-117.243,La Jolla,10666 N Torrey Pines Rd,92037,['J1772'],,1.0,Non-Networked,,,14000US06073008312,San Diego County,level2,POINT (32.89947 -117.243)
3,3,12,public,Dealership business hours,6405,P,Galpin Motors,200-9,34.221665,-118.468371,Sepulveda,15421 Roscoe Blvd,91343,['J1772'],,2.0,Non-Networked,,,14000US06037117408,Los Angeles County,level2,POINT (34.221665 -118.468371)
4,4,13,public,6am-12am daily,6425,P,Galleria at Tyler,GPS,33.909914,-117.459053,Riverside,1299 Galleria at Tyler,92503,['J1772'],,4.0,Non-Networked,,,14000US06065031601,Riverside County,level2,POINT (33.909914 -117.459053)
5,5,14,public,24 hours daily; pay lot,6505,LG,City of Pasadena - Holly Street Garage,200-8,34.14762,-118.147111,Pasadena,150 E Holly St,91103,['J1772'],,16.0,Non-Networked,,,14000US06037461902,Los Angeles County,level2,POINT (34.14762 -118.147111)
6,6,15,public,24 hours daily; pay lot,6506,LG,City of Pasadena - De Lacey Garage,GPS,34.145138,-118.152655,Pasadena,45 De Lacey Ave,91105,['J1772'],,2.0,Non-Networked,,,14000US06037463700,Los Angeles County,level2,POINT (34.145138 -118.152655)
7,7,16,public,24 hours daily; pay lot,6507,LG,City of Pasadena - Schoolhouse Garage,200-8,34.145119,-118.150133,Pasadena,33 E Green St,91105,['J1772'],,3.0,Non-Networked,,,14000US06037463602,Los Angeles County,level2,POINT (34.145119 -118.150133)
8,8,17,public,24 hours daily; for guest use only; valet fee,6508,P,Pasadena Hilton,200-9,34.142973,-118.140553,Pasadena,150 S Los Robles,91101,['J1772'],,4.0,Non-Networked,,,14000US06037463601,Los Angeles County,level2,POINT (34.142973 -118.140553)
9,10,19,public,24 hours daily; pay lot; see valet for access,7172,P,Hyatt Regency Long Beach,GPS,33.7637,-118.192,Long Beach,200 S Pine Ave,90802,['J1772'],,1.0,Non-Networked,,,14000US06037576001,Los Angeles County,level2,POINT (33.7637 -118.192)
